Data,Discipline,Credit,Subject
2/10/2018,Музыка,4,7
2/10/2018,Литература,4,8
2/10/2018,Английский,5,8
2/10/2018,Музыка,5,8
2/10/2018,Музыка,5,8
2/10/2018,Английский,5,9
2/10/2018,Музыка,2,9
2/10/2018,Музыка,3,9
2/10/2018,Музыка,2,11
2/10/2018,Музыка,4,11
2/10/2018,Литература,3,12
2/10/2018,Английский,4,12
2/10/2018,Музыка,4,12
2/10/2018,Музыка,3,12
2/10/2018,Музыка,4,13
2/10/2018,Музыка,5,13
2/10/2018,Английский,4,14
2/10/2018,Музыка,3,14
2/10/2018,Музыка,5,14
2/10/2018,Русский,4,15
2/10/2018,Литература,3,15
2/10/2018,Английский,5,15
2/10/2018,Музыка,4,15
2/10/2018,Музыка,5,15
2/10/2018,Музыка,5,16
2/10/2018,Музыка,5,16
2/10/2018,Музыка,2,18
2/10/2018,Музыка,2,18
2/10/2018,Музыка,3,19
2/10/2018,Музыка,4,19
2/10/2018,Музыка,5,20
2/10/2018,Музыка,5,20
3/10/2018,Русский,4,1
3/10/2018,Литература,5,1
3/10/2018,Математика,5,1
3/10/2018,География,5,1
3/10/2018,Русский,5,2
3/10/2018,Литература,4,2
3/10/2018,Математика,3,2
3/10/2018,Русский,5,3
3/10/2018,Литература,5,3
3/10/2018,Математика,5,3
3/10/2018,Русский,2,4
3/10/2018,Русский,3,4
3/10/2018,Литература,3,4
3/10/2018,Математика,4,4
3/10/2018,Русский,3,5
3/10/2018,Литература,4,5
3/10/2018,Математика,3,5
3/10/2018,Русский,2,6
3/10/2018,Литература,3,6
3/10/2018,Математика,2,6
3/10/2018,Физкультура,5,6
3/10/2018,Русский,4,7
3/10/2018,Литература,5,7
3/10/2018,Математика,3,7
3/10/2018,Русский,4,8
3/10/2018,Литература,5,8
3/10/2018,Математика,4,8
3/10/2018,Физкультура,5,8
3/10/2018,Русский,4,9
3/10/2018,Литература,4,9
3/10/2018,Математика,5,9
3/10/2018,География,4,9
3/10/2018,Физкультура,5,9
